epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3149.88,1.40227,2.08307,1.16237,0.56018,0.4936,0.46725,0.30424,1.20182,1.40565,1.09307,0.00037027,0.00037027,0.00037027
2,6070.13,1.28872,1.3828,1.10578,0.50194,0.5569,0.50267,0.31612,1.1898,1.21513,1.08472,0.000667283,0.000667283,0.000667283
3,9033.42,1.24572,1.15082,1.08696,0.58329,0.55039,0.56148,0.35698,1.1995,1.11293,1.07277,0.000890971,0.000890971,0.000890971
4,11729,1.20073,1.05739,1.06298,0.4769,0.55687,0.49239,0.32794,1.18769,1.14886,1.07873,0.000781033,0.000781033,0.000781033
5,14729.9,1.16658,0.94693,1.04659,0.50807,0.60655,0.53442,0.34272,1.18271,1.09077,1.07131,0.000671044,0.000671044,0.000671044
6,17691.9,1.1267,0.87074,1.02295,0.55325,0.58532,0.52938,0.33992,1.14421,1.05746,1.04547,0.000561055,0.000561055,0.000561055
7,20313.7,1.09487,0.81867,1.00654,0.61429,0.58732,0.587,0.38512,1.12784,0.9802,1.0452,0.000451066,0.000451066,0.000451066
8,22918.8,1.05593,0.75947,0.98813,0.65132,0.57821,0.63152,0.42272,1.12078,0.95431,1.04357,0.000341077,0.000341077,0.000341077
9,25525.5,1.02166,0.71163,0.97167,0.65127,0.63288,0.62504,0.40938,1.11762,0.94468,1.03862,0.000231088,0.000231088,0.000231088
10,28134.2,1.00024,0.68185,0.9652,0.65423,0.61069,0.62811,0.41411,1.10793,0.94119,1.03299,0.000121099,0.000121099,0.000121099
